0.00218146,0.01456522,0.76000000,0.00000000,0.00000000,-0.99990063,0.01409732,-0.31200000,0.00000000,0.00000000,0.66900000,-0.36300000,0.00000000,-0.31200000,0.00000000,0.00000000,0.66900000,-0.36300000,0.00000000,0.00000000,0.00000000,0.00000000,0.20000000,0.20000000,0.00000000,0.60000000,0.00000000,0.00000000,0.00000000,0.20000000,-0.20000000,0.00000000,0.60000000,0.00000000,0.00000000,0.00000000
0.00218146,0.01456522,0.76000587,0.00002372,-0.00001512,-0.99990064,0.01409633,-0.31186269,-0.00006704,0.00009363,0.66873341,-0.36292522,0.00003382,-0.31208325,-0.00000620,0.00001222,0.66883306,-0.36279358,0.00000000,-0.00002998,-0.00007018,0.00007689,0.20002354,0.20017358,-0.00014318,0.59991052,0.00003144,0.00000934,0.00001775,0.19998232,-0.20002580,0.00005189,0.60000186,-0.00000152,-0.00001128,0.00000797
0.00218146,0.01456522,0.76004698,0.00018979,-0.00012095,-0.99990072,0.01408934,-0.31090154,-0.00053636,0.00074904,0.66686726,-0.36240175,0.00027058,-0.31266604,-0.00004964,0.00009774,0.66766446,-0.36134861,0.00000000,-0.00023983,-0.00056142,0.00061515,0.20018834,0.20138865,-0.00114546,0.59928419,0.00025151,0.00007476,0.00014197,0.19985858,-0.20020638,0.00041508,0.60001487,-0.00001216,-0.00009021,0.00006375
0.00218146,0.01456522,0.76015855,0.00064055,-0.00040821,-0.99990072,0.01407036,-0.30829270,-0.00181020,0.00252800,0.66180199,-0.36098092,0.00091320,-0.31424787,-0.00016752,0.00032986,0.66449256,-0.35742656,0.00000000,-0.00080942,-0.00189481,0.00207614,0.20063563,0.20468669,-0.00386592,0.59758415,0.00084885,0.00025231,0.00047916,0.19952271,-0.20069655,0.00140091,0.60005020,-0.00004106,-0.00030446,0.00021517
0.00218146,0.01456522,0.76037582,0.00151834,-0.00096761,-0.99989991,0.01403339,-0.30321234,-0.00429085,0.00599230,0.65193806,-0.35821402,0.00216463,-0.31732828,-0.00039709,0.00078189,0.65831569,-0.34978887,0.00000000,-0.00191862,-0.00449140,0.00492123,0.20150669,0.21110920,-0.00916367,0.59427354,0.00201208,0.00059806,0.00113579,0.19886865,-0.20165107,0.00332068,0.60011900,-0.00009732,-0.00072168,0.00051003
0.00218146,0.01456522,0.76073403,0.00296550,-0.00188986,-0.99989620,0.01397241,-0.29483659,-0.00838056,0.01170371,0.63567589,-0.35365239,0.00422780,-0.32240681,-0.00077557,0.00152712,0.64813221,-0.33719702,0.00000000,-0.00374731,-0.00877226,0.00961177,0.20294275,0.22169765,-0.01789780,0.58881551,0.00392984,0.00116809,0.00221834,0.19779033,-0.20322475,0.00648570,0.60023242,-0.00019008,-0.00140953,0.00099615
0.00218146,0.01456522,0.76126841,0.00512436,-0.00326567,-0.99988519,0.01388136,-0.28234163,-0.01448161,0.02022401,0.61141594,-0.34684732,0.00730564,-0.32998296,-0.00134018,0.00263886,0.63294045,-0.31841245,0.00000000,-0.00647535,-0.01515846,0.01660914,0.20508507,0.23749355,-0.03092739,0.58067320,0.00679077,0.00201847,0.00383330,0.19618169,-0.20557237,0.01120729,0.60040162,-0.00032845,-0.00243567,0.00172134
0.00218146,0.01456522,0.76201418,0.00813721,-0.00518572,-0.99985885,0.01375414,-0.26490361,-0.02299626,0.03211498,0.57755864,-0.33735015,0.01160108,-0.34055628,-0.00212815,0.00419042,0.61173878,-0.29219662,0.00000000,-0.01028261,-0.02407107,0.02637471,0.20807490,0.25953836,-0.04911156,0.56930976,0.01078349,0.00320525,0.00608714,0.19393666,-0.20884872,0.01779676,0.60063776,-0.00052157,-0.00386775,0.00273343
0.00218146,0.01456522,0.76300659,0.01214628,-0.00774063,-0.99980399,0.01358457,-0.24169869,-0.03432678,0.04793840,0.53250444,-0.32471217,0.01731706,-0.35462628,-0.00317671,0.00625508,0.58352552,-0.25731099,0.00000000,-0.01534897,-0.03593116,0.03936982,0.21205350,0.28887359,-0.07330938,0.55418833,0.01609664,0.00478451,0.00908634,0.19094918,-0.21320859,0.02656543,0.60095199,-0.00077856,-0.00577344,0.00408021
0.00218146,0.01456522,0.76428087,0.01729359,-0.01102094,-0.99970036,0.01336639,-0.21190301,-0.04887543,0.06825604,0.47465379,-0.30848472,0.02465652,-0.37269250,-0.00452310,0.00890616,0.54729903,-0.21251702,0.00000000,-0.02185430,-0.05115980,0.05605586,0.21716211,0.32654072,-0.10437995,0.53477205,0.02291885,0.00681232,0.01293738,0.18711319,-0.21880676,0.03782461,0.60135547,-0.00110853,-0.00822038,0.00580952
